Book_ID	ISBN	Book-Title	Book-Author	Year-Of-Publication	Publisher
1	0060973129	Decision in Normandy	Carlo D'Este	1991	HarperPerennial
2	0393045218	The Mummies of Urumchi	E. J. W. Barber	1999	W. W. Norton &amp
3	0425176428	What If?: The World's Foremost Military Historians Imagine What Might Have Been	Robert Cowley	2000	Berkley Publishing Group
4	0452264464	Beloved (Plume Contemporary Fiction)	Toni Morrison	1994	Plume
5	0609804618	Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source	The Onion	1999	Three Rivers Press
6	1841721522	New Vegetarian: Bold and Beautiful Recipes for Every Occasion	Celia Brooks Brown	2001	Ryland Peters &amp
7	1879384493	If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself	J. R. Parrish	2003	Cypress House
8	0345402871	Airframe	Michael Crichton	1997	Ballantine Books
9	0345417623	Timeline	MICHAEL CRICHTON	2000	Ballantine Books
10	0684823802	OUT OF THE SILENT PLANET	C.S. Lewis	1996	Scribner
11	0375759778	Prague : A Novel	ARTHUR PHILLIPS	2003	Random House Trade Paperbacks
12	0425163091	Chocolate Jesus	Stephan Jaramillo	1998	Berkley Publishing Group
13	0446310786	To Kill a Mockingbird	Harper Lee	1988	Little Brown &amp
14	0449005615	Seabiscuit: An American Legend	LAURA HILLENBRAND	2002	Ballantine Books
15	0060168013	Pigs in Heaven	Barbara Kingsolver	1993	Harpercollins
16	038078243X	Miss Zukas and the Raven's Dance	Jo Dereske	1996	Avon
17	0553582909	Icebound	Dean R. Koontz	2000	Bantam Books
18	0671888587	I'll Be Seeing You	Mary Higgins Clark	1994	Pocket
19	0553582747	From the Corner of His Eye	Dean Koontz	2001	Bantam Books
20	0425182908	Isle of Dogs	Patricia Cornwell	2002	Berkley Publishing Group
21	042518630X	Purity in Death	J.D. Robb	2002	Berkley Publishing Group
22	0440223571	This Year It Will Be Different: And Other Stories	Maeve Binchy	1997	Dell
23	0812523873	Proxies	Laura J. Mixon	1999	Tor Books
24	0440225701	The Street Lawyer	JOHN GRISHAM	1999	Dell
25	0060914068	Love, Medicine and Miracles	M.D. Bernie S. Siegel	1988	HarperCollins Publishers
26	0156047624	All the King's Men	Robert Penn Warren	1982	Harvest Books
27	0553280333	Getting Well Again	O. Carol Simonton Md	1992	Bantam
28	0679810307	Shabanu: Daughter of the Wind (Border Trilogy)	SUZANNE FISHER STAPLES	1991	Laurel Leaf
29	0679865691	Haveli (Laurel Leaf Books)	SUZANNE FISHER STAPLES	1995	Laurel Leaf
